Date,pri,current_12,current_26,MACD,current_signal,centerlineBS,signallineBS
23 Feb 10:42,629.73,626.01811259,619.495161782,6.52295080825,5.81714957309,Buy,Buy
23 Feb 11:49,621.135,623.576556295,619.905121336,3.6714349585,4.95886372725,Buy,Sell
23 Feb 12:56,617.75,620.663278148,619.366341002,1.2969371455,3.49409309455,Buy,Sell
23 Feb 14:03,616.8625,618.762889074,618.740380751,0.0225083225,2.10545918573,Buy,Sell
23 Feb 15:10,621.2675,620.015194537,619.372160563,0.64303397375,1.52048910094,Buy,Sell
23 Feb 16:17,619.7475,619.881347268,619.465995422,0.41535184625,1.07843419906,Buy,Sell
23 Feb 17:24,621.4925,620.686923634,619.972621566,0.7143020675,0.932781346436,Buy,Sell
23 Feb 18:31,616.755,618.720961817,619.168216175,-0.4472543575,0.380767064862,Sell,Sell
23 Feb 19:38,616.5525,617.636730908,618.514287131,-0.87755622275,-0.122562250183,Sell,Sell
23 Feb 20:45,606.71,612.173365454,615.563215348,-3.38984989425,-1.42947730781,Sell,Sell
23 Feb 21:52,607.5575,609.865432727,613.561786511,-3.696353784,-2.33622789829,Sell,Sell
23 Feb 22:59,607.8375,608.851466363,612.130714883,-3.27924851975,-2.71343614687,Sell,Sell
24 Feb 00:06,606.845,607.848233182,610.809286162,-2.96105298075,-2.81248288042,Sell,Sell
24 Feb 01:13,599.665,603.756616591,608.023214622,-4.2665980305,-3.39412894045,Sell,Sell
24 Feb 02:20,583.97,593.863308296,602.009910967,-8.146602671,-5.29511843267,Sell,Sell
24 Feb 03:27,571.5,582.681654148,594.382433225,-11.7007790772,-7.8573826905,Sell,Sell
24 Feb 04:34,580.1225,581.402077074,590.817449919,-9.41537284475,-8.4805787522,Sell,Sell
24 Feb 05:41,574.555,577.978538537,586.751837439,-8.77329890225,-8.59766681222,Sell,Sell
24 Feb 06:48,566.715,572.346769268,581.742628079,-9.39585881075,-8.91694361163,Sell,Sell
24 Feb 07:55,568.25,570.298384634,578.369471059,-8.07108642525,-8.57860073708,Sell,Buy
24 Feb 09:02,568.79,569.544192317,575.974603294,-6.43041097725,-7.71932483315,Sell,Buy
24 Feb 10:09,576.2975,572.920846159,576.05532747,-3.134481312,-5.88538742469,Sell,Buy
24 Feb 11:16,578.9125,575.91667308,576.769620602,-0.852947523,-3.87241146401,Sell,Buy
24 Feb 12:23,579.475,577.69583654,577.445965452,0.2498710885,-2.22349844301,Buy,Buy
24 Feb 13:30,577.8475,577.77166827,577.546349089,0.225319181,-1.24397139341,Buy,Buy
24 Feb 14:37,574.8075,576.289584135,576.861636817,-0.57205268175,-0.975203908746,Sell,Buy
24 Feb 15:44,573.7525,575.021042068,576.084352613,-1.06331054525,-1.01044656335,Sell,Sell
24 Feb 16:51,571.0575,573.039271034,574.82763946,-1.78836842575,-1.32161530831,Sell,Sell
